Tran No.,Customer Code,Location Code,Grade Level Code,Transaction Date,Delivery Type,Quantity,Paper type Code
129121,609574,L000000,G2000001,11/05/2016,Consignment,26,BW000000
132275,508263,L000000,G2000001,13/05/2016,Consignment,26,BW000000
135862,65203,L000000,G2000001,17/05/2016,Consignment,26,BW000000
145258,775996,L000000,G2000001,24/05/2016,Consignment,26,BW000000
119690,389705,L000000,G1000001,03/05/2016,Consignment,26,BW000000
133340,570459,L000000,G1000001,14/05/2016,Consignment,26,BW000000
139872,508136,L000000,G1000001,20/05/2016,Consignment,26,BW000000
130144,425888,L000000,SY0000001,12/05/2016,Consignment,26,BW000000
124595,972316,L000000,SY0000001,06/05/2016,Consignment,26,BW000000
127258,38418,L000000,TY000001,08/05/2016,Consignment,26,BW000000
148711,241166,L000000,FST000001,26/05/2016,Consignment,26,BW000000
148719,241166,L000000,FST000001,26/05/2016,Consignment,26,BW000000
121305,67004,L000000,K1000001,04/05/2016,Consignment,26,BW000000
201023,683705,L000000,G6000001,09/07/2016,Consignment,39,BW000000
201023,683705,L000000,G6000001,09/07/2016,Consignment,39,BW000000
195509,366980,L000000,FTH000001,04/07/2016,Consignment,39,BW000000
202980,514532,L000000,TY000001,12/07/2016,Consignment,39,BW000000
222668,669015,L000000,SH000001,26/07/2016,Consignment,39,BW000000
62312,471301,L000000,G6000001,03/03/2016,Consignment,39,BW000000
1063,361378,L000000,SY0000001,18/01/2016,Consignment,39,BW000000
301281,497559,L000000,G5000001,17/09/2016,Consignment,39,BW000000
304927,728726,L000000,K2000001,28/09/2016,Consignment,39,BW000000
159900,288343,L000000,G4000001,05/06/2016,Consignment,39,BW000000
168798,893943,L000000,G4000001,12/06/2016,Consignment,39,BW000000
178950,411047,L000000,G4000001,22/06/2016,Consignment,39,BW000000
185616,273832,L000000,G4000001,27/06/2016,Consignment,39,BW000000
185620,273832,L000000,G4000001,27/06/2016,Consignment,39,BW000000
156053,243759,L000000,G5000001,02/06/2016,Consignment,39,BW000000
170549,934334,L000000,G5000001,14/06/2016,Consignment,39,BW000000
165631,553955,L000000,G2000001,10/06/2016,Consignment,39,BW000000
172897,840000,L000000,G2000001,16/06/2016,Consignment,39,BW000000
178956,411047,L000000,G2000001,22/06/2016,Consignment,39,BW000000
163626,809301,L000000,OTH,08/06/2016,Consignment,39,BW000000
161570,847341,L000000,G3000001,07/06/2016,Consignment,39,BW000000
167478,843766,L000000,G3000001,11/06/2016,Consignment,39,BW000000
162340,648308,L000000,G1000001,08/06/2016,Consignment,39,BW000000
175658,771339,L000000,G1000001,18/06/2016,Consignment,39,BW000000
173419,553304,L000000,TY000001,16/06/2016,Consignment,39,BW000000
169963,772939,L000000,G1100001,14/06/2016,Consignment,39,BW000000
81536,590445,L000000,G4000001,05/04/2016,Consignment,39,BW000000
108437,98970,L000000,G4000001,23/04/2016,Consignment,39,BW000000
93583,341256,L000000,G5000001,14/04/2016,Consignment,39,BW000000
108473,98970,L000000,G5000001,23/04/2016,Consignment,39,BW000000
116243,932163,L000000,G5000001,29/04/2016,Consignment,39,BW000000
107621,168655,L000000,G6000001,22/04/2016,Consignment,39,BW000000
81763,418996,L000000,G2000001,05/04/2016,Consignment,39,BW000000
106809,617721,L000000,G2000001,22/04/2016,Consignment,39,BW000000
106845,66044,L000000,G2000001,22/04/2016,Consignment,39,BW000000
81484,944544,L000000,G3000001,05/04/2016,Consignment,39,BW000000
97085,640715,L000000,G3000001,16/04/2016,Consignment,39,BW000000
102957,539738,L000000,G3000001,20/04/2016,Consignment,39,BW000000
106759,351880,L000000,G1000001,22/04/2016,Consignment,39,BW000000
107585,168655,L000000,G1000001,22/04/2016,Consignment,39,BW000000
93735,501391,L000000,SY0000001,14/04/2016,Consignment,39,BW000000
116127,491385,L000000,SY0000001,29/04/2016,Consignment,39,BW000000
102865,753991,L000000,FST000001,20/04/2016,Consignment,39,BW000000
119612,662687,L000000,G4000001,03/05/2016,Consignment,39,BW000000
123791,599930,L000000,G4000001,05/05/2016,Consignment,39,BW000000
127074,94005,L000000,G4000001,08/05/2016,Consignment,39,BW000000
127236,946849,L000000,G4000001,08/05/2016,Consignment,39,BW000000
146771,473321,L000000,G4000001,25/05/2016,Consignment,39,BW000000
152614,76473,L000000,G4000001,30/05/2016,Consignment,39,BW000000
121747,701065,L000000,G5000001,04/05/2016,Consignment,39,BW000000
125210,392485,L000000,G5000001,06/05/2016,Consignment,39,BW000000
129265,592158,L000000,G5000001,11/05/2016,Consignment,39,BW000000
148263,538691,L000000,G5000001,26/05/2016,Consignment,39,BW000000
132749,666089,L000000,G6000001,13/05/2016,Consignment,39,BW000000
136963,131544,L000000,G6000001,17/05/2016,Consignment,39,BW000000
137763,414739,L000000,G6000001,18/05/2016,Consignment,39,BW000000
149393,83976,L000000,G6000001,26/05/2016,Consignment,39,BW000000
141355,666478,L000000,G2000001,21/05/2016,Consignment,39,BW000000
145152,687197,L000000,G2000001,24/05/2016,Consignment,39,BW000000
149233,950170,L000000,G2000001,26/05/2016,Consignment,39,BW000000
125202,392485,L000000,G1000001,06/05/2016,Consignment,39,BW000000
141945,501104,L000000,G1000001,21/05/2016,Consignment,39,BW000000
142795,801961,L000000,G1000001,21/05/2016,Consignment,39,BW000000
144780,790967,L000000,FTH000001,23/05/2016,Consignment,39,BW000000
144774,790967,L000000,TY000001,23/05/2016,Consignment,39,BW000000
126559,553304,L000000,FST000001,07/05/2016,Consignment,39,BW000000
128129,766607,L000000,K1000001,11/05/2016,Consignment,39,BW000000
237531,839650,L000000,G4000001,02/08/2016,Consignment,1,BW000000
243272,50795,L000000,G4000001,04/08/2016,Consignment,1,BW000000
249008,593792,L000000,G4000001,08/08/2016,Consignment,1,BW000000
262799,364579,L000000,G4000001,13/08/2016,Consignment,1,BW000000
271032,891888,L000000,G4000001,22/08/2016,Consignment,1,BW000000
267708,182399,L000000,G6000001,17/08/2016,Consignment,1,BW000000
241723,571228,L000000,G2000001,03/08/2016,Consignment,1,BW000000
248526,695799,L000000,G1000001,08/08/2016,Consignment,1,BW000000
271044,619563,L000000,G1000001,22/08/2016,Consignment,1,BW000000
271352,217381,L000000,SY0000001,22/08/2016,Consignment,1,BW000000
291370,619563,L000000,TY000001,31/08/2016,Consignment,1,BW000000
291380,619563,L000000,FST000001,31/08/2016,Consignment,1,BW000000
241721,66495,L000000,G1100001,03/08/2016,Consignment,1,BW000000
241721,66495,L000000,G1100001,03/08/2016,Consignment,1,BW000000
209286,455387,L000000,G4000001,17/07/2016,Consignment,1,BW000000
193760,497093,L000000,G5000001,02/07/2016,Consignment,1,BW000000
198694,497093,L000000,G6000001,08/07/2016,Consignment,1,BW000000
202697,356064,L000000,G6000001,12/07/2016,Consignment,1,BW000000
219449,326180,L000000,G6000001,25/07/2016,Consignment,1,BW000000
205474,232950,L000000,G2000001,14/07/2016,Consignment,1,BW000000
226506,583138,L000000,G3000001,28/07/2016,Consignment,1,BW000000
203550,35452,L000000,G1000001,13/07/2016,Consignment,1,BW000000
207035,199744,L000000,G1000001,15/07/2016,Consignment,1,BW000000
208995,231565,L000000,FTH000001,16/07/2016,Consignment,1,BW000000
217259,243759,L000000,TY000001,23/07/2016,Consignment,1,BW000000
229654,766607,L000000,K2000001,29/07/2016,Consignment,1,BW000000
210472,85530,L000000,K1000001,19/07/2016,Consignment,1,BW000000
210432,220894,L000000,N0000001,18/07/2016,Consignment,1,BW000000
7586,369265,L000000,G5000001,03/02/2016,Consignment,1,BW000000
7459,321818,L000000,G2000001,03/02/2016,Consignment,1,BW000000
610490,375029,L000000,OTH,14/12/2016,Consignment,1,BW000000
7658,857397,L000000,G3000001,09/02/2016,Consignment,1,BW000000
529113,931324,L000000,FTH000001,06/11/2016,Consignment,1,BW000000
415716,755456,L000000,TY000001,03/10/2016,Consignment,1,BW000000
422442,323277,L000000,FST000001,17/10/2016,Consignment,1,BW000000
299458,933643,L000000,G5000001,06/09/2016,Consignment,1,BW000000
328201,669015,L000000,G5000001,09/09/2016,Consignment,1,BW000000
331506,212509,L000000,G2000001,10/09/2016,Consignment,1,BW000000
296225,633127,L000000,G3000001,03/09/2016,Consignment,1,BW000000
299246,377649,L000000,G1000001,06/09/2016,Consignment,1,BW000000
293498,620032,L000000,SY0000001,01/09/2016,Consignment,1,BW000000
299314,98045,L000000,TY000001,06/09/2016,Consignment,1,BW000000
296241,330313,L000000,FST000001,03/09/2016,Consignment,1,BW000000
311424,668820,L000000,FST000001,08/09/2016,Consignment,1,BW000000
174938,865430,L000000,G4000001,17/06/2016,Consignment,1,BW000000
177903,757199,L000000,G4000001,21/06/2016,Consignment,1,BW000000
183870,916123,L000000,G5000001,25/06/2016,Consignment,1,BW000000
186509,844687,L000000,G5000001,28/06/2016,Consignment,1,BW000000
186509,844687,L000000,G5000001,28/06/2016,Consignment,1,BW000000
191302,975458,L000000,G2000001,30/06/2016,Consignment,1,BW000000
178650,973357,L000000,G3000001,21/06/2016,Consignment,1,BW000000
178668,973357,L000000,G3000001,21/06/2016,Consignment,1,BW000000
179306,326180,L000000,G1000001,22/06/2016,Consignment,1,BW000000
165413,820955,L000000,SY0000001,10/06/2016,Consignment,1,BW000000
176495,518312,L000000,TY000001,19/06/2016,Consignment,1,BW000000
179192,397206,L000000,K1000001,22/06/2016,Consignment,1,BW000000
162435,88629,L000000,G1100001,08/06/2016,Consignment,1,BW000000
166592,820441,L000000,G1100001,10/06/2016,Consignment,1,BW000000
166590,820441,L000000,SH000001,10/06/2016,Consignment,1,BW000000
185528,902785,L000000,N0000001,27/06/2016,Consignment,1,BW000000
128183,954881,L000000,G4000001,11/05/2016,Consignment,1,BW000000
142069,844687,L000000,G2000001,21/05/2016,Consignment,1,BW000000
142091,844687,L000000,G3000001,21/05/2016,Consignment,1,BW000000
142109,844687,L000000,G3000001,21/05/2016,Consignment,1,BW000000
128193,954881,L000000,G1000001,11/05/2016,Consignment,1,BW000000
197435,89589,L000000,G5000001,07/07/2016,Consignment,65,BW000000
198143,520048,L000000,SY0000001,07/07/2016,Consignment,65,BW000000
205187,599930,L000000,FTH000001,13/07/2016,Consignment,65,BW000000
61297,91953,L000000,G5000001,27/02/2016,Consignment,65,BW000000
69843,933643,L000000,G5000001,19/03/2016,Consignment,65,BW000000
63389,153897,L000000,G6000001,08/03/2016,Consignment,65,BW000000
74395,875981,L000000,G1000001,30/03/2016,Consignment,65,BW000000
74755,188965,L000000,FTH000001,30/03/2016,Consignment,65,BW000000
74763,188965,L000000,FTH000001,30/03/2016,Consignment,65,BW000000
322302,212509,L000000,G6000001,19/09/2016,Consignment,65,BW000000
157019,942489,L000000,G4000001,02/06/2016,Consignment,65,BW000000
162602,376726,L000000,G4000001,08/06/2016,Consignment,65,BW000000
172654,323277,L000000,G4000001,15/06/2016,Consignment,65,BW000000
161932,323277,L000000,G3000001,07/06/2016,Consignment,65,BW000000
159075,806050,L000000,G1000001,04/06/2016,Consignment,65,BW000000
186461,803568,L000000,SY0000001,28/06/2016,Consignment,65,BW000000
178743,102449,L000000,FTH000001,21/06/2016,Consignment,65,BW000000
159664,311680,L000000,TY000001,05/06/2016,Consignment,65,BW000000
164576,599930,L000000,TY000001,09/06/2016,Consignment,65,BW000000
166808,379058,L000000,TY000001,10/06/2016,Consignment,65,BW000000
176533,481476,L000000,K1000001,19/06/2016,Consignment,65,BW000000
164383,315701,L000000,G1100001,09/06/2016,Consignment,65,BW000000
164383,315701,L000000,G1100001,09/06/2016,Consignment,65,BW000000
167550,458135,L000000,G1100001,11/06/2016,Consignment,65,BW000000
167738,458135,L000000,G1100001,11/06/2016,Consignment,65,BW000000
162578,37489,L000000,SH000001,08/06/2016,Consignment,65,BW000000
82695,566080,L000000,G4000001,05/04/2016,Consignment,65,BW000000
82695,566080,L000000,G4000001,05/04/2016,Consignment,65,BW000000
87668,53928,L000000,G4000001,09/04/2016,Consignment,65,BW000000
98102,415483,L000000,G4000001,17/04/2016,Consignment,65,BW000000
75889,933643,L000000,G5000001,01/04/2016,Consignment,65,BW000000
84385,361344,L000000,G5000001,07/04/2016,Consignment,65,BW000000
101236,464016,L000000,G2000001,19/04/2016,Consignment,65,BW000000
115757,727327,L000000,G3000001,28/04/2016,Consignment,65,BW000000
97097,640715,L000000,G1000001,16/04/2016,Consignment,65,BW000000
87619,255542,L000000,SY0000001,09/04/2016,Consignment,65,BW000000
100794,317267,L000000,SY0000001,19/04/2016,Consignment,65,BW000000
116573,929964,L000000,FTH000001,29/04/2016,Consignment,65,BW000000
111103,208349,L000000,TY000001,26/04/2016,Consignment,65,BW000000
109252,646184,L000000,FST000001,24/04/2016,Consignment,65,BW000000
109264,867747,L000000,FST000001,24/04/2016,Consignment,65,BW000000
98570,128416,L000000,K2000001,18/04/2016,Consignment,65,BW000000
146815,746397,L000000,G4000001,25/05/2016,Consignment,65,BW000000
147935,304272,L000000,G4000001,26/05/2016,Consignment,65,BW000000
121273,55386,L000000,G5000001,04/05/2016,Consignment,65,BW000000
123987,52862,L000000,G5000001,05/05/2016,Consignment,65,BW000000
127354,315565,L000000,G5000001,08/05/2016,Consignment,65,BW000000
121605,12143,L000000,G6000001,04/05/2016,Consignment,65,BW000000
121605,12143,L000000,G6000001,04/05/2016,Consignment,65,BW000000
128169,503598,L000000,G6000001,11/05/2016,Consignment,65,BW000000
128339,198283,L000000,G2000001,11/05/2016,Consignment,65,BW000000
129241,313229,L000000,G3000001,11/05/2016,Consignment,65,BW000000
130258,716292,L000000,G3000001,12/05/2016,Consignment,65,BW000000
145264,361344,L000000,G1000001,24/05/2016,Consignment,65,BW000000
118507,365496,L000000,SY0000001,01/05/2016,Consignment,65,BW000000
135593,529371,L000000,SY0000001,17/05/2016,Consignment,65,BW000000
135595,529371,L000000,FTH000001,17/05/2016,Consignment,65,BW000000
137372,930741,L000000,TY000001,18/05/2016,Consignment,65,BW000000
144770,482417,L000000,TY000001,23/05/2016,Consignment,65,BW000000
118705,589425,L000000,FST000001,01/05/2016,Consignment,65,BW000000
118841,635188,L000000,FST000001,01/05/2016,Consignment,65,BW000000
133882,789152,L000000,FST000001,14/05/2016,Consignment,65,BW000000
141829,349742,L000000,K2000001,21/05/2016,Consignment,65,BW000000
96817,53027,L000000,SY0000001,16/04/2016,Consignment,65,BW000000
283690,239298,L000000,G5000001,25/08/2016,Consignment,136,BW000000
259409,592325,L000000,G5000001,11/08/2016,Consignment,33,BW000000
254372,996147,L000000,G5000001,09/08/2016,Consignment,10,BW000000
276607,964276,L000000,G5000001,24/08/2016,Consignment,5,BW000000
268181,79472,L000000,G6000001,17/08/2016,Consignment,20,BW000000
269311,571376,L000000,OTH,20/08/2016,Consignment,2,BW000000
283680,239298,L000000,G3000001,25/08/2016,Consignment,128,BW000000
268153,79472,L000000,G3000001,17/08/2016,Consignment,88,BW000000
262986,592325,L000000,G3000001,15/08/2016,Consignment,33,BW000000
250914,299521,L000000,G3000001,09/08/2016,Consignment,17,BW000000
262974,399833,L000000,G3000001,15/08/2016,Consignment,3,BW000000
282556,399833,L000000,G1000001,25/08/2016,Consignment,4,BW000000
254446,571376,L000000,G1000001,10/08/2016,Consignment,3,BW000000
265994,972694,L000000,G1000001,17/08/2016,Consignment,3,BW000000
239286,512463,L000000,G1000001,02/08/2016,Consignment,2,BW000000
288752,529371,L000000,SY0000001,27/08/2016,Consignment,17,BW000000
253869,522466,L000000,FTH000001,09/08/2016,Consignment,10,BW000000
239242,698560,L000000,FST000001,02/08/2016,Consignment,10,BW000000
242266,49568,L000000,N0000001,03/08/2016,Consignment,4,BW000000
219109,105708,L000000,G4000001,24/07/2016,Consignment,34,BW000000
220246,695799,L000000,G4000001,25/07/2016,Consignment,33,BW000000
212670,16635,L000000,G4000001,20/07/2016,Consignment,20,BW000000
212978,392694,L000000,G4000001,21/07/2016,Consignment,20,BW000000
198672,155213,L000000,G4000001,08/07/2016,Consignment,10,BW000000
198165,996147,L000000,G4000001,07/07/2016,Consignment,6,BW000000
209013,801028,L000000,G4000001,16/07/2016,Consignment,5,BW000000
209017,801028,L000000,G4000001,16/07/2016,Consignment,5,BW000000
212118,341414,L000000,G4000001,20/07/2016,Consignment,5,BW000000
219451,326180,L000000,G4000001,25/07/2016,Consignment,3,BW000000
204899,914222,L000000,G5000001,13/07/2016,Consignment,96,BW000000
201594,258795,L000000,G5000001,11/07/2016,Consignment,30,BW000000
192665,16838,L000000,G5000001,01/07/2016,Consignment,10,BW000000
201438,193126,L000000,G5000001,11/07/2016,Consignment,5,BW000000
232701,925147,L000000,G5000001,30/07/2016,Consignment,5,BW000000
211883,668820,L000000,G5000001,20/07/2016,Consignment,3,BW000000
232673,89589,L000000,G5000001,30/07/2016,Consignment,2,BW000000
201532,378172,L000000,G6000001,11/07/2016,Consignment,59,BW000000
198640,799133,L000000,G6000001,08/07/2016,Consignment,33,BW000000
201642,632404,L000000,G6000001,11/07/2016,Consignment,33,BW000000
234974,61672,L000000,G6000001,31/07/2016,Consignment,29,BW000000
203129,479365,L000000,G6000001,12/07/2016,Consignment,10,BW000000
193768,844687,L000000,G6000001,02/07/2016,Consignment,5,BW000000
202150,430872,L000000,G2000001,12/07/2016,Consignment,10,BW000000
196739,5853,L000000,G2000001,05/07/2016,Consignment,4,BW000000
197839,16635,L000000,G3000001,07/07/2016,Consignment,20,BW000000
210882,129507,L000000,G3000001,19/07/2016,Consignment,20,BW000000
198590,952975,L000000,G3000001,08/07/2016,Consignment,10,BW000000
198644,809603,L000000,G3000001,08/07/2016,Consignment,10,BW000000
202152,430872,L000000,G3000001,12/07/2016,Consignment,10,BW000000
197803,326180,L000000,G3000001,07/07/2016,Consignment,8,BW000000
192733,168655,L000000,G3000001,01/07/2016,Consignment,5,BW000000
208917,589427,L000000,G3000001,16/07/2016,Consignment,5,BW000000
197425,960526,L000000,G3000001,07/07/2016,Consignment,4,BW000000
203630,392694,L000000,G3000001,13/07/2016,Consignment,4,BW000000
219273,410241,L000000,G1000001,24/07/2016,Consignment,120,BW000000
206176,617151,L000000,G1000001,14/07/2016,Consignment,112,BW000000
198263,774187,L000000,G1000001,07/07/2016,Consignment,10,BW000000
195269,483395,L000000,G1000001,04/07/2016,Consignment,5,BW000000
224274,922881,L000000,SY0000001,26/07/2016,Consignment,380,BW000000
211856,233270,L000000,SY0000001,20/07/2016,Consignment,59,BW000000
198620,635395,L000000,SY0000001,08/07/2016,Consignment,52,BW000000
198001,369619,L000000,SY0000001,07/07/2016,Consignment,50,BW000000
201362,481708,L000000,SY0000001,11/07/2016,Consignment,24,BW000000
203798,102083,L000000,SY0000001,13/07/2016,Consignment,10,BW000000
203798,102083,L000000,SY0000001,13/07/2016,Consignment,10,BW000000
220339,890557,L000000,SY0000001,25/07/2016,Consignment,10,BW000000
201027,890040,L000000,SY0000001,09/07/2016,Consignment,4,BW000000
199569,518534,L000000,SY0000001,08/07/2016,Consignment,2,BW000000
201458,576244,L000000,FTH000001,11/07/2016,Consignment,101,BW000000
229686,365496,L000000,FTH000001,29/07/2016,Consignment,10,BW000000
197897,674461,L000000,FTH000001,07/07/2016,Consignment,5,BW000000
225189,419114,L000000,TY000001,27/07/2016,Consignment,160,BW000000
192657,16838,L000000,TY000001,01/07/2016,Consignment,10,BW000000
219249,365496,L000000,TY000001,24/07/2016,Consignment,10,BW000000
196648,890040,L000000,TY000001,05/07/2016,Consignment,5,BW000000
202721,365701,L000000,TY000001,12/07/2016,Consignment,5,BW000000
203552,952975,L000000,FST000001,13/07/2016,Consignment,16,BW000000
196668,890040,L000000,FST000001,05/07/2016,Consignment,8,BW000000
219237,896680,L000000,FST000001,24/07/2016,Consignment,3,BW000000
198584,191709,L000000,K2000001,08/07/2016,Consignment,20,BW000000
198850,569105,L000000,K2000001,08/07/2016,Consignment,20,BW000000
194014,326954,L000000,K2000001,02/07/2016,Consignment,10,BW000000
194070,69381,L000000,K2000001,02/07/2016,Consignment,10,BW000000
198586,191709,L000000,K2000001,08/07/2016,Consignment,10,BW000000
197553,513679,L000000,K2000001,07/07/2016,Consignment,5,BW000000
198149,996147,L000000,K2000001,07/07/2016,Consignment,5,BW000000
200152,156924,L000000,K2000001,09/07/2016,Consignment,5,BW000000
195375,399297,L000000,K1000001,04/07/2016,Consignment,10,BW000000
208256,567280,L000000,K1000001,15/07/2016,Consignment,10,BW000000
232785,755456,L000000,K1000001,30/07/2016,Consignment,9,BW000000
196771,343761,L000000,K1000001,05/07/2016,Consignment,5,BW000000
222714,953887,L000000,G1100001,26/07/2016,Consignment,358,BW000000
193804,246965,L000000,G1100001,02/07/2016,Consignment,300,BW000000
208238,254289,L000000,G1100001,15/07/2016,Consignment,160,BW000000
198774,708079,L000000,G1100001,08/07/2016,Consignment,128,BW000000
195519,89560,L000000,G1100001,04/07/2016,Consignment,96,BW000000
198137,146895,L000000,G1100001,07/07/2016,Consignment,46,BW000000
206092,973976,L000000,G1100001,14/07/2016,Consignment,33,BW000000
195247,297354,L000000,G1100001,04/07/2016,Consignment,10,BW000000
205133,181092,L000000,G1100001,13/07/2016,Consignment,10,BW000000
205129,950170,L000000,G1100001,13/07/2016,Consignment,5,BW000000
219787,403920,L000000,G1100001,25/07/2016,Consignment,2,BW000000
197559,112627,L000000,SH000001,07/07/2016,Consignment,9000,BW000000
201554,53928,L000000,SH000001,11/07/2016,Consignment,160,BW000000
204937,748005,L000000,SH000001,13/07/2016,Consignment,112,BW000000
192675,28267,L000000,SH000001,01/07/2016,Consignment,10,BW000000
192675,28267,L000000,SH000001,01/07/2016,Consignment,10,BW000000
62857,108390,L000000,G4000001,05/03/2016,Consignment,320,BW000000
75140,825843,L000000,G4000001,30/03/2016,Consignment,160,BW000000
66786,26291,L000000,G4000001,16/03/2016,Consignment,7,BW000000
1075,86877,L000000,G4000001,03/01/2016,Consignment,31,BW000000
520058,875289,L000000,G4000001,23/11/2016,Consignment,11,BW000000
513495,80780,L000000,G4000001,26/11/2016,Consignment,21,BW000000
516138,234752,L000000,G4000001,16/11/2016,Consignment,8,BW000000
609053,804772,L000000,G4000001,07/12/2016,Consignment,20,BW000000
72142,757155,L000000,G5000001,28/03/2016,Consignment,400,BW000000
1298,482721,L000000,G5000001,15/01/2016,Consignment,32,BW000000
503311,667872,L000000,G5000001,26/11/2016,Consignment,34,BW000000
500417,690226,L000000,G5000001,20/11/2016,Consignment,48,BW000000
615797,365590,L000000,G5000001,16/12/2016,Consignment,16,BW000000
619591,392529,L000000,G5000001,04/12/2016,Consignment,6,BW000000
614473,434705,L000000,G5000001,02/12/2016,Consignment,21,BW000000
1377,330539,L000000,G6000001,04/01/2016,Consignment,12,BW000000
1249,19296,L000000,G6000001,18/01/2016,Consignment,12,BW000000
1188,979843,L000000,G6000001,17/01/2016,Consignment,49,BW000000
629092,349742,L000000,G6000001,04/12/2016,Consignment,28,BW000000
623024,125334,L000000,G6000001,11/12/2016,Consignment,2,BW000000
72987,385674,L000000,G2000001,29/03/2016,Consignment,323,BW000000
74497,304272,L000000,G2000001,30/03/2016,Consignment,120,BW000000
66472,731760,L000000,G2000001,16/03/2016,Consignment,112,BW000000
73111,624356,L000000,G2000001,29/03/2016,Consignment,46,BW000000
1431,589266,L000000,G2000001,06/01/2016,Consignment,42,BW000000
1328,225378,L000000,G2000001,03/01/2016,Consignment,33,BW000000
502795,251596,L000000,G2000001,24/11/2016,Consignment,15,BW000000
509071,288343,L000000,G2000001,25/11/2016,Consignment,4,BW000000
625636,524939,L000000,G2000001,12/12/2016,Consignment,5,BW000000
611424,94005,L000000,G2000001,02/12/2016,Consignment,22,BW000000
1321,897442,L000000,OTH,19/01/2016,Consignment,4,BW000000
626991,910721,L000000,OTH,22/12/2016,Consignment,38,BW000000
